year,election_type,ward,ed_num,ed_label,shapefile_key,Mark J F Schroeder,Byron W Brown,Betty Jean Grant,Taniqua Simmons
2017,primary,NIA,1,Nia 001,Buffalo NIA 1,31,46,6,0
2017,primary,NIA,2,Nia 002,Buffalo NIA 2,38,45,9,0
2017,primary,NIA,3,Nia 003,Buffalo NIA 3,4,15,0,0
2017,primary,NIA,6,Nia 006,Buffalo NIA 6,86,118,22,0
2017,primary,NIA,7,Nia 007,Buffalo NIA 7,32,61,12,0
2017,primary,NIA,8,Nia 008,Buffalo NIA 8,41,68,23,0
2017,primary,NIA,12,Nia 012,Buffalo NIA 12,38,78,13,0
2017,primary,NIA,14,Nia 014,Buffalo NIA 14,44,44,14,0
2017,primary,NIA,16,Nia 016,Buffalo NIA 16,26,80,6,1
2017,primary,NIA,17,Nia 017,Buffalo NIA 17,38,58,19,0
2017,primary,NIA,18,Nia 018,Buffalo NIA 18,56,55,15,0
2017,primary,NIA,19,Nia 019,Buffalo NIA 19,75,94,21,0
2017,primary,NIA,22,Nia 022,Buffalo NIA 22,51,101,13,0
2017,primary,NIA,23,Nia 023,Buffalo NIA 23,55,74,24,0
2017,primary,NIA,25,Nia 025,Buffalo NIA 25,50,84,24,0
2017,primary,NIA,26,Nia 026,Buffalo NIA 26,18,36,3,0
2017,primary,NOR,1,Nor 001,Buffalo NOR 1,72,77,10,0
2017,primary,NOR,3,Nor 003,Buffalo NOR 3,10,25,13,0
2017,primary,NOR,5,Nor 005,Buffalo NOR 5,48,60,10,0
2017,primary,NOR,7,Nor 007,Buffalo NOR 7,40,46,16,0
2017,primary,NOR,8,Nor 008,Buffalo NOR 8,40,58,2,0
2017,primary,NOR,10,Nor 010,Buffalo NOR 10,45,75,7,1
2017,primary,NOR,12,Nor 012,Buffalo NOR 12,47,73,7,0
2017,primary,NOR,16,Nor 016,Buffalo NOR 16,42,45,12,0
2017,primary,NOR,17,Nor 017,Buffalo NOR 17,25,37,13,0
2017,primary,NOR,18,Nor 018,Buffalo NOR 18,37,36,7,0
2017,primary,NOR,20,Nor 020,Buffalo NOR 20,83,119,12,0
2017,primary,NOR,21,Nor 021,Buffalo NOR 21,20,45,2,0
2017,primary,NOR,22,Nor 022,Buffalo NOR 22,14,15,5,0
2017,primary,NOR,23,Nor 023,Buffalo NOR 23,79,93,8,0
2017,primary,NOR,26,Nor 026,Buffalo NOR 26,1,6,7,0
2017,primary,SOU,1,Sou 001,Buffalo SOU 1,96,28,3,0
2017,primary,SOU,2,Sou 002,Buffalo SOU 2,210,47,4,0
2017,primary,SOU,5,Sou 005,Buffalo SOU 5,187,43,7,1
2017,primary,SOU,7,Sou 007,Buffalo SOU 7,265,61,1,0
2017,primary,SOU,11,Sou 011,Buffalo SOU 11,164,51,5,0
2017,primary,SOU,12,Sou 012,Buffalo SOU 12,90,39,1,0
2017,primary,SOU,13,Sou 013,Buffalo SOU 13,221,67,1,0
2017,primary,SOU,14,Sou 014,Buffalo SOU 14,171,40,6,0
2017,primary,SOU,16,Sou 016,Buffalo SOU 16,170,62,5,0
2017,primary,SOU,18,Sou 018,Buffalo SOU 18,272,52,0,0
2017,primary,SOU,22,Sou 022,Buffalo SOU 22,292,76,4,0
2017,primary,SOU,24,Sou 024,Buffalo SOU 24,435,80,2,0
2017,primary,SOU,27,Sou 027,Buffalo SOU 27,180,50,1,0
2017,primary,SOU,28,Sou 028,Buffalo SOU 28,440,83,3,0
2017,primary,UNI,1,Uni 001,Buffalo UNI 1,130,186,15,1
2017,primary,UNI,2,Uni 002,Buffalo UNI 2,92,127,21,1
2017,primary,UNI,4,Uni 004,Buffalo UNI 4,43,90,29,2
2017,primary,UNI,9,Uni 009,Buffalo UNI 9,7,18,4,1
2017,primary,UNI,10,Uni 010,Buffalo UNI 10,25,142,36,0
2017,primary,UNI,11,Uni 011,Buffalo UNI 11,14,76,18,1
2017,primary,UNI,12,Uni 012,Buffalo UNI 12,65,223,44,2
2017,primary,UNI,13,Uni 013,Buffalo UNI 13,27,155,34,2
2017,primary,UNI,15,Uni 015,Buffalo UNI 15,27,136,53,3
2017,primary,UNI,16,Uni 016,Buffalo UNI 16,28,99,29,2
2017,primary,UNI,17,Uni 017,Buffalo UNI 17,25,154,49,0
2017,primary,UNI,19,Uni 019,Buffalo UNI 19,22,92,17,0
2017,primary,UNI,21,Uni 021,Buffalo UNI 21,15,134,16,0
2017,primary,UNI,22,Uni 022,Buffalo UNI 22,28,71,17,0
2017,primary,UNI,23,Uni 023,Buffalo UNI 23,11,84,54,0
2017,primary,UNI,24,Uni 024,Buffalo UNI 24,11,101,43,0
2017,primary,UNI,25,Uni 025,Buffalo UNI 25,22,134,41,0
2017,primary,UNI,26,Uni 026,Buffalo UNI 26,10,88,21,0
