year,election_type,district,ward,ed_num,ed_label,shapefile_key,Julie Propis Penman,Marc A. Coppola,"Blank, Void & Scattering",TOTAL,Brian C. Davis,David A. Franczyk,Anthony Pendergrass,Patsy J. Bevelock Jr.,Richard A. Fontana,Ricky T. Donovan Sr.,Antoine M. Thompson,Dominic J. Bonifacio Jr.,Dominic J. Bonifacio Jr. Consevative,Joseph Golombek Jr.,Genevieve M. Kenyon,James D. Griffin,Mary M. Martino,Bonnie E. Russell
2003,general,ellicott,ELL,12,12th District ……………,Buffalo ELL 12,,,9,25,16.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,13,13th District ……………,Buffalo ELL 13,,,56,163,107.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,14,14th District ……………,Buffalo ELL 14,,,40,163,123.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,15,15th District ……………,Buffalo ELL 15,,,28,201,173.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,16,16th District ……………,Buffalo ELL 16,,,26,196,170.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,17,17th District ……………,Buffalo ELL 17,,,37,100,63.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,18,18th District ……………,Buffalo ELL 18,,,32,252,220.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,19,19th District ……………,Buffalo ELL 19,,,49,107,58.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,20,20th District ……………,Buffalo ELL 20,,,19,128,109.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,21,21st District ……………,Buffalo ELL 21,,,8,17,9.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,22,22nd District ……………,Buffalo ELL 22,,,29,70,41.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,23,23rd District ……………,Buffalo ELL 23,,,26,153,127.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,24,24th District ……………,Buffalo ELL 24,,,39,209,170.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,25,25th District ……………,Buffalo ELL 25,,,35,177,142.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,26,26th District ……………,Buffalo ELL 26,,,8,16,8.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,27,27th District ……………,Buffalo ELL 27,,,41,244,203.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,28,28th District ……………,Buffalo ELL 28,,,11,40,29.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,29,29th District ……………,Buffalo ELL 29,,,1,4,3.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,30,30th District ……………,Buffalo ELL 30,,,27,199,172.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,31,31st District ……………,Buffalo ELL 31,,,13,90,77.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,32,32nd District ……………,Buffalo ELL 32,,,44,136,92.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,33,33rd District ……………,Buffalo ELL 33,,,39,179,140.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,34,34th District ……………,Buffalo ELL 34,,,12,85,73.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,35,35th District ……………,Buffalo ELL 35,,,61,151,90.0,,,,,,,,,,,,,
2003,general,ellicott,ELL,36,36th District ……………,Buffalo ELL 36,,,2,2,0.0,,,,,,,,,,,,,
