year,election_type,district,ward,ed_num,ed_label,shapefile_key,Joel Feroleto,"Blank, Void, & Scattering",TOTAL,Darius G. Pridgen,Mitch Nowakowski,Raymond Brinson,Mohammed Jahangir Alam United Fillmore District,David P. Howard Choice,Sam Herbert,Bryan J. Bollman,Antionette T. Craig Lovejoy United 5,Ulysees O. Wingo,Veronica Golden,Nate Boyd,David A. Rivera,Mark T. Supples,Charley Tarr,Joseph Golombek Jr.,Christopher P. Scanlon,Rasheed N. Wyatt,Dorethea Franklin
2019,general,ellicott,ELL,18,Ell 018,Buffalo ELL 18,,8,54,46.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,19,Ell 019,Buffalo ELL 19,,10,176,166.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,20,Ell 020,Buffalo ELL 20,,9,77,68.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,21,Ell 021,Buffalo ELL 21,,15,115,100.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,22,Ell 022,Buffalo ELL 22,,20,138,118.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,23,Ell 023,Buffalo ELL 23,,10,88,78.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,24,Ell 024,Buffalo ELL 24,,11,38,27.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,25,Ell 025,Buffalo ELL 25,,16,97,81.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,26,Ell 026,Buffalo ELL 26,,18,213,195.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,27,Ell 027,Buffalo ELL 27,,12,104,92.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,28,Ell 028,Buffalo ELL 28,,12,100,88.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,29,Ell 029,Buffalo ELL 29,,21,221,200.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,30,Ell 030,Buffalo ELL 30,,9,50,41.0,,,,,,,,,,,,,,,,,
2019,general,ellicott,ELL,31,Ell 031,Buffalo ELL 31,,14,183,169.0,,,,,,,,,,,,,,,,,
