year,election_type,ward,ed_num,ed_label,shapefile_key,Mark J F Schroeder,Byron W Brown,Betty Jean Grant,Taniqua Simmons,Beverly A. Gray,Anthony M. Masiello,"Blank, Void & Scattering",TOTAL,Judith Einach Write In,Steven A. Calvaneso,Byron W. Brown,Kevin P. Gaughan,Kevin J. Helfer,Charles J. Flynn,Judith S. Einach,Michael P. Kearns,Bernie Tolbert,Sergio R. Rodriguez,Anita L Howard,Terrence A Robinson,total,India B. Walton,Le'Candice M. Durham,Blank,Void,Scattering,Total,Byron Brown,Ben Carlisle,Jaz Miles,William O'Dell,"Blank, Void, and Scattering",Christopher P. Scanlon,Anthony J.P. Tyson-Thompson,Rasheed N.C. Wyatt,Garnell Whitfield Jr.,Sean M. Ryan,Michael Gainer,James R. Gardner,Michael Gainer Restore Buffalo,Kevin Gay,Charles A. Notaro
2017,primary,ELL,25,Ell 025,Buffalo ELL 25,38.0,177.0,37.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,ELL,27,Ell 027,Buffalo ELL 27,3.0,57.0,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,ELL,28,Ell 028,Buffalo ELL 28,18.0,106.0,34.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,ELL,29,Ell 029,Buffalo ELL 29,46.0,174.0,47.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,ELL,31,Ell 031,Buffalo ELL 31,31.0,130.0,44.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,ELL,33,Ell 033,Buffalo ELL 33,110.0,114.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,ELL,34,Ell 034,Buffalo ELL 34,17.0,55.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,ELL,35,Ell 035,Buffalo ELL 35,13.0,107.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,FIL,2,Fil 002,Buffalo FIL 2,49.0,63.0,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,primary,FIL,9,Fil 009,Buffalo FIL 9,36.0,110.0,63.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
